Moi,NDF,Starch
68.51711704,42.36,28.47
47.5622449,34.78,40.77
69.30377246,41.27,27.51
57.0334556,33.59,42.26
70.48450569,39.96,32.22
67.81867863,43.35,23.97
72.63031789,41.44,27.42
47.5622449,34.78,40.77
59.07184044,43.32,30.53
63.77659979,36.29,33.28
69.40313099,41.8,28.17
53.5869441,44.61,27.57
76.92990395,50.61,8.73
53.5869441,44.61,27.57
63.00744715,41.66,19.52
63.77659979,36.29,33.28
65.916589,34.34,37.86
66.36165775,38.37,33.72
68.51711704,42.36,28.47
67.02898722,53.17,14.86
53.5869441,44.61,27.57
48.99972894,31.79,43.7
66.36165775,38.37,33.72
53.5869441,44.61,27.57
53.5869441,44.61,27.57
68.51711704,42.36,28.47
47.5622449,34.78,40.77
69.30377246,41.27,27.51
57.0334556,33.59,42.26
70.48450569,39.96,32.22
67.81867863,43.35,23.97
72.63031789,41.44,27.42
47.5622449,34.78,40.77
59.07184044,43.32,30.53
63.77659979,36.29,33.28
69.40313099,41.8,28.17
53.5869441,44.61,27.57
76.92990395,50.61,8.73
53.5869441,44.61,27.57
63.00744715,41.66,19.52
63.77659979,36.29,33.28
65.916589,34.34,37.86
66.36165775,38.37,33.72
68.51711704,42.36,28.47
67.02898722,53.17,14.86
53.5869441,44.61,27.57
48.99972894,31.79,43.7
65.79,44.9,31.74
69.55271947,43.53,18.12
76.17940609,43.78,24.24
71.68674847,57.06,2.46
60.8819788,35.71,38.09
69.3,51.12,23.99
66.88,45.03,29.34
74.52,55.58,19.12
67.60165557,41.56,28.3
66.75063348,37.86,34.04
64.45009743,38.51,35.14
65.69111554,42.05,32.79
58.39494371,37.44,33.07
64.45009743,38.51,35.14
65.99570896,39.09,33.89
64.56752761,39.43,32.35
65.76629834,37.48,35.53
54.61191547,35.52,39.33
66.02966232,36.91,34.91
58.26,39.38,34.8
67.84586957,40.17,33.05
65.11665293,38.62,33.41
71.68674847,57.06,2.46
62.82,42.01,31.85
63.38966635,45.58,17.74
70.80601101,42.96,29.94
66.86796296,39.45,31.56
54.98719497,41.24,33.98
58.35955098,30.44,41.76
60.60852405,33.08,42.58
61.67689366,36.04,33.52
54.98719497,41.24,33.98
60.3284492,35.3,39.06
64.13020442,45.36,26.97
65.97472924,36.63,39.7
59.45745568,36.33,37.08
65.97472924,36.63,39.7
65.97472924,36.63,39.7
67.61223521,33.33,42.9
63.71732157,37.48,40.42
66.2121888,38.94,27.59
53.99762712,32.24,41.42
56.75437647,33.73,44.32
60.60852405,33.08,42.58
56.22664035,40.4,35.3
60.90465005,38.91,37.32
64.43819355,33.88,38.81
64.17645617,39.53,28.82
68.00982609,38.15,32.61
56.05638368,37.2,36.31
66.70885764,38.64,34.73
66.54540146,44.12,28.4
62.6787126,36.55,23.6
59.41180745,30.21,42.42
66.26643721,36.19,33.31
67.36370833,40.37,34.89
68.26666667,36.78,32.99
58.22651163,35.39,38.8
